swetha k Nee ingayum wanthutiya homo 9 !! Homo ku over support ah irukke sari illaye 👎🏽 un koodhiya kilicha taan sari,,,,,,,,,,,,,,,
Mohamed Ali unga hormones ah Ena iruku Adhu than bro Veliya Varum... vibathunu solringa illaya adhu epadi Ninga vibathunu solrinya endha lesbian r gay Vanthu solli irukangala inthanala than Ena straight ah Irunthu gay ah lesbians  ah marinen nu,,,,,,,,,,,,,,,
swetha k ,so lesbian ,gay ellame romba romba thavaru.....intha Mari seiravanga lam romba thappu seiravanga.,,,,,,,,,,,,,
swetha k ,Bible Quran la lam adhu miga periya pavam nu pottu irruku.,,,,,,,,,,,,,,
swetha k ,jack the ripper Mari ,unna Mari alugala kolla atkal varanum...,,,,,,,,,,,,,
swetha k ,naa yarayum rape panna la,ana nee lesbian pannra.pathukoo.naa thappu pannathavan,enna unga boys rape panranga nu sola than mudyum,particular aa enna sola mudiyathu,ana unna Mari lesbian aa particular aa nee thappu panra naaye  nu naa solla mudiyum.,,,,,,,,,,
Stanley Thomas aiyo andha punitha uravuku poranthathu ena azha pesuthu paru... una ninaichi niye kevala padanum apadi ninaikalana unalam manizha jenmathula serka kudathu.... ; ama nan avangaluku support  panren than avanga nu illa urimaikaga poradra elarukum support pannuven... manitha unarvai mathipen una mari pesamaten,,,,,,,,,,,,,,,
Andha asingathula michamum echamum ningala kuda irukalam Illa...,,,,,,,,,,,,,,,
Yogesh Waran Hey nee 9 taane 😜😆,,,,,,,,,,,,,,,
Fb ah vachu nala explanation kuduthinga...lusu mathiri iruku unga example....frnd vera gey lesbion vera..ni geyva irunthina ni yaraium frnda nenaikamata..ellaraium geyva irukanumnu ethirpaarpa..paaavathilae thalaiyaana paavam homosexual than..ulagam alivatharkku ithu than thodakkam,,,,,,,,,,,,,,,
@Dhaya Saran  lesbian gay periya thappu atharkku support panathinga...avunga seiura thappa niyapaduthurathukaga ithu iyarkainu kathai vitutu irukanuga....transgender mattum than iyarkai...homosexualist iyarkai kidayathu,,,,,,,,,,,,,,,
Sec 377 sari nu sonna ,yarume nimadhiya irruka mudiyathu.boys boys toilet la kuda nimadhiya poga mudiyathu.,,,,,,,,,,,,,,
Oru payan ambala Mari irrukanum,ponnu ponna nadakanum,mathi nadantha thappu Thane.,,,,,,,,,,,,,
Sir neeinga fist ambalayanu poi doctor kita poinga,,,,,,,,,,,,,,,
swetha k unakku wera wela pundaye illaya homo 9 thooo💦,,,,,,,,,,,,,,,
loh jen# she’s human ohh athu nee solli taan teriyuthu,,,,,,,,,,,,,,,
Podi moodhevi neeyellam ponnadi,,,,,,,,,,,,,,,
Reproduction ilana mavanae  neeyae  illada,,,,,,,,,,,,,,,
Pennum pennum tha valanuna apro edhukaga aanaiyu pennaiyu padachanga edhella oru polappa asingama ella,,,,,,,,,,,,,,,
Nee enna ans pannalum athu correct kedaiyathu.Naama enna vilangugaloda kevalama poittama athukku irukkura arivu kuda namakku illayaa .; Intha naadum naattu makkalum naasamaai pogattum,,,,,,,,,,,,,,,
Eva oru muttal apdi iruntha ni poranthuruka mata Beta,,,,,,,,,,,,,,,
Beach to Tambaram train la poga mudiyala.. Tip top ah dress paneetu indha vela dhaan paakuranunga..,,,,,,,,,,,,,,,
Intha pilaygalayellam kapathanum kudumbamna appa,amma,anna,akka,thambi,marumagan,marumagal,appa magalode paduka mudiyathu,magan ammavoda paduka mudiyathu freedomnu sollitu ellorum ellorode paduka mudiyathu,nalaiku itheyum leagal akkuvanuga intha ambedarkar yen neekavillai,history nadanthuyellam nallathunu solla mudiyathu,itherku ore thirvu petrorgal pillaigala sariya valakanum illena ippaditha.,,,,
Paithiyamda  ithu, (aama nee ponnaa paiyanaa)  : unavai  vaai  vazhiyaaga  saapidaamal  pinnaadi vazhiyaaga  saappidu,,,,,,,,,,,,,,
Homosexually  judgement ippo thevaiya romba mukiyam naddukku thamil kalacharathai kedukathinga homosexually againsta support pannunga,,,,,,,,,,,,,,,
Innaikku bublikka pesura visayama ithu biblela Luke 17.28 ippadi last days la nadakum so jesus is coming soon,,,,,,,,,,,,,,,
Otha thevidiya paiya, loosu koodhi, punda, lawadekabal. Unna nerla paatha saavadichiruvan da punda koodhi. Ommala sunni,,,,,,,,,,,,
Inime boys kuda boys toilet la nimadhiya poga mudiyathu.,,,,,,,,,,,,,,,
Prakash Durairaj ,ivanga entha bathroom use pannuvanga,boys aa girls aa.,,,,,,,,,,,,,
@Praveen Kumar  atha unna matri aaluka athikama aayrichu naa... Population enga perukum... Unga appan kuda poi sex vechu koda... David paiya,,,,,,,,,,,,,,,
Poi saga sonnen... Ivala mathri gays and lesibians...,,,,,,,,,,,,,,,
mine mine apo unga appa kita poi sollu...nenga en hetero sex panringanu...sorry unga appavuku,,,,,,,,,,,,,,,
Praveen kumar kadavulah...entha kadavul....unga appa appa vuma...chi...matha, pidha, guru deivam...ithula entga kadavul..,,,,,,,,,,,,,
Praveen kumar vayila nalla varuthu...chi venkam ketavangla,,,,,,,,,,,,,,,
thilak raj unnaku en kobam varukirathu,,,,,,,,,,,,,,,
Siva Pradeep.b ,un kelviku naa ithey video la Mohammad Alli  potta cmt ikku replies la soli irrukean adha paru.,,,,,,,,,,,,,,
Ival Oru punda nakki lesbian Munda ...irukaravalayu keduthurvaluga pilundainga,,,,,,,,,,,,,,,
yara iruntha yena un veetu laa vidu ne ipadi iruntha ne yena panuva .....first yelarum mind aa purinjutu pesunga yelarum....all r nature ... alvo pesura aal..yen after marriage ku apm yen kalla kadhal panuranga athula sari ya ....,,,,,,,,,,,,,,,
Na unna serupa kalati adipen paratasi,,,,,,,,,,,,,,,
Evagalae Sava adikam very bad words,,,,,,,,,,,,,,,
Intha pottaigala homela adaikkanum.,,,,,,,,,,,,,,,
Pods Ali pundai,,,,,,,,,,,,,,,
Unnaium,un ammavaium home la adaichi sagadikanum sappadu podamalea,,,,,,,,,,,,,,
Naalu kaasu varardhu na yedhuvum thappilla nu ninaikyaraan pola dei yippadi patta nee neeyum yevan kittayaavudhu paduthu kaasu vaanguva kooda porandhavaalayum kaasukku vilai pesuva kaasu dhen mukkiyam likes dhen mukkiyam na mannenna oothi koluthikittu video podendaa yeanda sillarathanama yosikyara,,,,,,,,,,,,,,,
ivalunga thappu pannatha nama sonna udane namma thappu panna mathuri pesura samugam irikkura vara ; evanum nalavana iruka mudiyathu; ivalugala thirutha aandavanala mudila; athan epdi padaichuttan,,,,,,,,,,,,,,,
Serupala adikanum intha mathri pandrathungala,,,,,,,,,,,,,,,
thirunagai arajagathai ollikanum,,,,,,,,,,,,,,,
9 mundaingala motha thooki pottu vettanum..,,,,,,,,,,,,,,,
Un pundaiya mudinu eru theavidiya nanga picha yeadukum nee yanna panra kuthiya katti sambarikura athuku pichayea paravala theavidiya,,,,,,,,,,,,,,,
Unnaium un ammavaium first thukula podanum kadavulea,,,,,,,,,,,,,,,
Thimir serupala adiknum,,,,,,,,,,,,,,,
Ithunga pinnadi pona avlothan. Jattimattum kidaikum. Careful friends,,,,,,,,,,,,,,,
Adichiko un serupa kalutti neeyea,,,,,,,,,,,,,,,
shiva sriman 999999999👡👡👡👡👡👡👡👡👡👡👡👡,,,,,,,,,,,,,,,
Un pinnadi vantha jatti kuda erukathu nee ambalaiyea pathalea vida mattiyam sonnagga chi keavalama piravi nee thu,,,,,,,,,,,,,,,
ithunga attulyatha nuganbakkam railway station vandhu parunga.. theriyum. gents , ladies a vida ithunga than adhigam iruku...,,,,,,,,,,,,,,
oru ali ku inoru ali support ku vantaan baadu...ipdi unta pesnaa moodinu irupaada punda mavane,,,,,,,,,,,,,,,
avanukku theavaya,,,,, intha oholuu,,   un vealaya paruda loosu..patcha patchaya,,, kaluvy oothuthu antha THirunangai....,,,,,
Pls yarum avanagaluku money kudukadinga kai kaal vilangama irukavan kooda naal theruku poi picha edukuran evanga nama kita irukradha pudingitu poranga avanga asirvandham panradu ella naladu ella namaku bless panitu pakathu seat paisa tharalana badwords potu thitradhu....oru educated 5days sambadhikuradu avanga olakama 1day la sambadipanga...,,,,,,,,,,,,,,,
indha pottai naigal adicha sagadikanum ipo Elam Tamil nadu indha pottai naigal adigam iruku,,,,,,,,,,,,,,,
Illa dildo item, cucumber la vachirupa,,,,,,,,,,,,,,
weirdo No not a trans like you Mr.broker😁,,,,,,,,,,,,,,,
👑 King transgender ah nee??,,,,,,,,,,,,,,,
valarpu seri illa😂🤣🤣🤣🤣,,,,,,,,,,,,,,,
Kilucha lesbian munda,,,,,,,,,,,,,,,
Ttd Ttd unka ammava okka va keddam paithiyamnu solra badu punda,,,,,,,,,,,,,,,
enn onaiyum orasinangala di . poodi neeyum evalukum support na neeyum oru kaama pidari neeyum abiramiyum onu di kaamam,,,,,,,,,,,,,,,
Girl Da pooota,,,,,,,,,,,,,,,
@Kasi Ravi   hey in velaiya paaru daa ....nedan da potae koooo,,,,,,,,,,,,,,,
@PRO 7  dai un name ah ketthu babu ingarthuku pathila பொட்ட பாடு (னு) வை##,,,,,,,,,,,,,,,
oru vela unn vetulaiyo ella unnode sonthakaragalo ipadi iruntha ange poi entha varthaiye sollu Th******A,,,,,,,,,,,,,,,
Poda call boy,,,,,,,,,,,,,,,
Enna porutha varaum ethu ok than periya ammalanga 1mulan sunniya vatchu Chennai ponnungala vettayadaranga ethu paravayillaya. LGBT eruntha thappukal kuraum,,,,,,,,,,,,,,,
Pasanga payathula pesura mariye eruke yenga da ponu kedaikama poidonu pesura mari eruke .......,,,,,,,,,,,,,,,
KADAVUL PADACHATHILA ORU VISHYAM KAADHAL PUNIDHAMAANADHU ADHA AANUKKU PENNUM PENUKKU AANUMDHAAN PARIMAARAVENDUM! OORINSERKAI ENBADHU SAMUGASEERKEDU UNGA MOZHILA ENGLISHLA SOLLANUMNA PUBLIC NEWSENSE & NONSENSE BEHAVIOUR INDHA MYRUU SATTATHIRKKU SUPPORTU VERA!😝😝😝😝😝😝,,,,,,,,,,,,,,,
1:20 Vera level comment ponnu Kum payanukum vithyasame irukathu 😂,,,,,,,,,,,,,,,
@China Madathi  wat u meanAm tg k va...... Nanum oru ponnu tha ana ya no passable nu solaranga .... Enala oru baby mattum tha kudamudiyathu... Na pakarathu oru mari thana irukan ponnu ku irukaramari tha na iruka ana ya no passable ......,,,,,,,,,,,,,,,
Uruttukalil pala vidham adhil idhu Periya problem,,,,,,,,,,,,,,,
Vettoda mapilaiya porathukku sathu pokalam,,,,,,,,,,,,,,,
@top romance and comedy movie station   veetoda mapillai thavaru illai but laziness kaga veetoda mapillai ah irupathu, pethavangala paarthukama irupathu, koncham kooda self-respect illama avanga thittuna kooda atha ethukuven enbathu ellam thavaru , male or female self respect mukiyam and veetoda wife onnuna veliya velaiku poraanga illanalum veetil velai seiraanga, itha ethuvum Seiya maaten kadaiku kooda poga maaten enbathu too much.; And inga irukum maamanar yaarum avanga ponnuku varan thedura mathiri theriyala, avanga business ah paarthuka salary illatha oru aal velaiku venum enbathu pola pesuraanga. This is not good to a family.,,,,,,,,,,
9. Morattu single ku ponnungala pudikathu da😭😭😭😭,,,,,,,,,,,,,,,
Pongada thevdiya pasangala, prank nu indha vela pundaya panrengale vekkama illa. Idhula vilipunarvu vera,,,,,,,,,,,,,,
Iyarkai ya meeri edhu senjalum adhu asingam,paavam..EDHU SENJALUM..udane avan apdi panna adhu sari ya ivan ipdi panna idhu sariya nu keka varadhinga..anyways even u need sex..ella aamblayum yaarayum katti podala ella pomblayum prechna pandravanga illa..oru ponna pidicha adhukudhan Friend nu oru relationship iruku, adhu ava kuda paduthudhan proof pannanumlu avasiyamilla and moreover padukanumnu thonumbodhu anga adhu sex oriented aidudhu..unmaya sonna indha govt indha madhri sila vishayangala legalise aaknadhe rmba thappu..,,,,,,,,,,,,,
Inga kalyana panna ponnu kitaigama kastap paturanga nenga enada na leasbian gay nu ithu manitha kula aliyota arambam😠😠😠😠😠😠😡😡😡,,,,,,,,,,,,,,,
Kalachara seerkedu unnoda urimai unnoda vachikkanum atha ipdi velipadaiyaa kaamichikkurathu udanpadu illa .ippo pasanga pasanga onna nadanthu poga bayama irukku antha alavukku neenga nalla vishayam pannirukinga,,,,,,,,,,,,,,,
Vera topic kedaikalaya. Kandraavi. Manam kettavanga. Thu thu.,,,,,,,,,,,,,,,
Nee ennathan ungala nayapaduthi pesalalum.. society ku niggal ellorum Chee thuu tan.. me2..thuu💦,,,,,,,,,,,,,,,
Intha saniyanaaa pethavaluku sorgam kedaikaathu ithu kutti sevura porathu pathaama elaarayume kedukuthu,,,,,,,,,,,,,,,
🤔eg:- Oru male dog innoru male dog kita poi thappu pannurathu illa. Female dog venumnu thedi poguthu. Oru periya male dog puthusa pirantha kuti female dog kita poi thappu panrathu illa. Athu valanthu varumvarai wait pannuthu. Manushangatha chinnapillaya rape panrathum same gender kita sex vaikrathumnu seirathulam senjitu niyaayam pesuraanga. Iyarkai namakku niraya examples theliva koduthurukku. Intha comment ku oppose pannitu pesa varravan atha purinjikitu vazhntha nallathu. Illana epdiyum poi thola. Enaku reply pannatha.,,,,,,,,,,,,,,,
Ithu 9 ah,,,,,,,,,,,,,,,
Ooru enam searkari kartharuku munpaaga aruvarupanadhu,,,,,,,,,,,,,,,
Malini Neenga epdiyo irunthutu ponga aana aduthavangala mathatheenga,,,,,,,,,,,,,,,
Madame neeke edo France le irekere maderi  pesadike, neeke lesbien a irekere tale neeke anpule seyre ellame seymadike , neeke kannadi mune  poye nede ounekale neekele todere maderi tane irekuma vere oru ponne todume pode.,,,,,,,,,,,,,
Onga Appan onga amma va kalyanam pannati nee peranthurukavae matadi avusari mavalae,,,,,,,,,,,,,,,
Idhu vaaya paathiya.. Periya laadu mathiri peasura... Ne lesbian or gay based on girl or boy.. yenga makkal yenga makkal nu peasadha ok va.. dog kuda boy to boys nu sex vachikudhu ninga andha arivu kuda ilama ipadi alayura.. thani manidha urimai na ne media la peasa kudadhu,,,,,,,,,,,,,,,
Podi sex paithiyam...  Periya thiyagi maathri pesura...  Iyarkai (nature)  ku against ah vaalura oru maangketta vaalkaiya vaalndhu asingam pannitu periya pudungi maathri pesura..  Un amma va kuda vida maata pola...  Sex veri pudicha moodhevi...  Kevalam...,,,,,,,,,,,,,,,
Ulaga niyadhikku murambanadhu ; ...ulagam azhinjidum,,,,,,,,,,,,,,,
Pode thevidiya Munda.. kaalaacharatha keduka vandha naai. Tamil manoda arumai theriyama pesitu iruka. Idhu iyarkaiku against aana vishayamum kooda. Periya thyagi Mari pesuraa. Poi ungomaa kooda lesbian iru.,,,,,,,,,,,,,,,
Dai high court paathiya ; Intha naaingaluku rights kodutha eppdi aduthuinga paaru; ; 8:08 😠,,,,,,,,,,,,,,,
Nee yenna romba padichittiya...iyarkkaikku ethira nee kevalama onna pannittu irukka... thoo maanangettavaley., vekkama illa... ellaraiyum kedukkathinga.... ithu than pen sudhanthirama....,,,,,,,,,,,,,,
apdiyada baddu paiya.en pool mudiya kuda una pudunga midiyathuda potta thevidiyapulla,,,,,,,,,,,,,,,
@gpbro  vada Ambala thevidiya magane vada unnathanda ethana nala kundi adikka kathuruke.. kommala unnoda kundi vinkuthuda 😂,,,,,,,,,,,,,,,
1:47 Itha panniruntha nallarukum👇; ; Avanga:nee paka paiyan maari iruka?; ; You:neengalum paaka ponnu mari than irukinga nan nambalaya?; 😂😂😂😂Sorry😂😂😂😂,,,,,,,,,,,,,,,
Pongada parathesigala it's very very very wrong itha panravanga pichakara karumanga....,,,,,,,,,,,,,,,
Judge sir avana nee😂😂,,,,,,,,,,,,,,,
Can't accepted..  Its based only on sex....sex ah thandi yevlavo eruku.. Karumo ..etha support pana kudathu punishment than kodukanum.. Support panuna evanunga meethi erukavangalauim keduthuruvanga,,,,,,,,,,,,,,,
Aruvarupu,asingam. Naturendra perla ishtam pola nadakakoodadhu illaya,,,,,,,,,,,,,,
Pongada Gay pundaingala.. Idhuku sila public support vera.. Nasama poi savunga,,,,,,,,,,,,,,,
Yavlo pirachana iruku intha mutta pundaiga thirpu sollirukanga paru sonnavana patha serupala adipan,,,,,,,,,,,,,,,
@P. Nagaraj _ 43  oru naaal nee roadla pogumbothu kundi la pooola uduvaaa vaangikoda thevidyaaa naaaye.... Elllame manasa poruthu thaaa.. Evano apdi porakaaala da emantha kooothi....,,,,,,,,,,,,,,,
@P. Nagaraj _ 43  un sooothula vitu saavadicha nee sethupoitana ena bro panuvaaa...Un vaalkaila avamaano. Mato thaaa... Unna oru ponukoooda kalyaano panaathu..,,,,,,,,,,,,,,,
@P. Nagaraj _ 43  naa oru thapaana visayathuku encourage.. Panamaata bro...also very sry for that words.... Simple ahh oru logic kekura bro... Sex aiya namba istathuku virupa patavanga kooda panalanu sola poiyu thaaa chinna kolanthaiya kooda panraanunga😖Ithe nelama thaa future la aana aambalaiko sethu ithu nadako...second oru aambalaiku ethava thaa oru pombala...third intha ulago elaaraiyo emaathi vechiruku,,,,,,,,,,,,,,,
Neengala Chennai la kekuratha vitutu south la vanthu kelunga seruppala adipanga,,,,,,,,,,,,,,,
Hahaha judge pilaikum Avan thambi pillaikum Kalyanam Pani vaipaara.. inaiku orina serkai ok solvanga naaliku manishanum miragamum pana thapu Ilanu theerpu solvanga..,,,,,,,,,,,,,,,
@Kadhayalla Nijam  yenga ithukellam Enna awareness venum ... Innum poga poga animals Kuda sex vachupanga , athaiyum accept panunga ..  sex na men and women mattum panrathu tha ..  summa ivangala onnu create pannikitu .... 100 year ku munnadi ithellam kidayathu .  Ipo vanthutu suma olarama ponga bro,,,,,,,,,,,,,,
Pooda thevdiya potta punda,,,,,,,,,,,,,,,
Ungka appanaium athavaium kondu poi vedu pannuvangka,,,,,,,,,,,,,,,
Thoo potta thevdiyaa payalunga gothaaEthu Onnum thappuu Eilla jiiiiiiii,,,,,,,,,,,,,,,
@Kalai Arasan  naaye... Pinnale paadhi per gay ah maarna neeyum payyana dha kalyanam pananum... Poi saavu,,,,,,,,,,,,,,,
100%wrong.ponnukku aanum aanukku ponnumthan sari. enakku vayasu 29 marriage ahala oru ponnukkaga Engum enakkuthan theriyuma intha theerpu evlavu gobatha tharuthunu,,,,,,,,,,,,,,,
Muttalthanama pesureengalapa  female +male thane baby pirakkum appram ethukku kudumbam,,,,,,,,,,,,,,,
Andha akka kettuchi paarunga judge paiyanukum avaru thamby paiyanukkum marriage pannivainga,,,,,,,,,,,,,,,
solra naathari ella orina saerkai sarinu solluthunga athunga appadi thaan pola chee naaingala,,,,,,,,,,,,,,,
Thirppu sonna Charja Seruppala adikkanum,,,,,,,,,,,,,,,
Angalum pengalum thirumanam seidhu ingu ozhukam keta vazhkai vazhgirargal kallakadhal seigirargal vibacharam seigirargal indharku peyar dhan kalacharama illai neengal seivadhu thevadiyathanam indharku thunai pogadhan neengal kural ezhupugirrergal kevalam epapathalu ambala pombalayoda padukanum pombala ambalayoda padukanum idhuku matum badhagam vandhuvida kudadhu mathadhella kaathula paraka vittachu,,,,,,,,,,,,,,,
Nam Kalacharathirkkum Eyarkai Niyathikkum Ethirana Theerppu.,,,,,,,,,,,,,,,
Ne homosexual panuviya,,,,,,,,,,,,,,,
iyarkaike yethirana onru ithai aatharithu pesuvatharke asingapada vendum,,,,,,,,,,,,,,,
sappatuku pathila manitha kaliva thinga sollunga ethuvum possible than,,,,,,,,,,,,,,,
Ksndravi idhellam sattam nu kodukka kodadhu kandukama vittudanum nalaiku animals kitta panna pidikum na adhu 388 nu sattam nu solli sattam poduvangala idhellam nalladhuke illa aruverukka thakka vishayam,,,,,,,,,,,,,,,
Thappudhaan matra uyirinamgal kadavul vdhipadi vazhndhukittu irukku aanaal manithargal kadavul padaipai udhaaseenapadudhra maathiri vaazhraanga ,idhanaal inimel ulla, thalaimuraigal muraiya thrumanam seithu vaazhradha kevalama nenachiruvaanga thavaraana theerppu, thavaraana vazhikaattudhal,,,,,,,,,,,,
Kandipa itha accept pana kudathu.western agree pandrangana athu avunga culture ku acceptable but namba culture affect pana kudatha,,,,,,,,,,,,,,,
3:10 ladyku pathil sollunga parpom...thavarana seyaluku muttu kodukka ninaipatu thavaru...,,,,,,,,,,,,,,,
Akka supera judge haa titunegaa super. Inthaa thirupu naala naadu dhan ketupogum....,,,,,,,,,,,,,,,
girubhakar T Dai gomma potta punda kooothi myruu Gotha echa poriki thevidiya sunneee oooombu Da porampoku thaaivaliii,,,,,,,,,,,,,,,
girubhakar T dai gomma thevidiyaluku porentha thaaivaliii gay punda,,,,,,,,,,,,,,,
Po d 9ngala ningalum un kadhayum,,,,,,,,,,,,,,,
Proof enga d 9???,,,,,,,,,,,,,,,
Kadhayalla Nijam Ina d potta poolu venuma ?,,,,,,,,,,,,,,,
Asingama iruku Intha pilaygalayellam kapathanum kudumbamna appa,amma,anna,akka,thambi,marumagan,marumagal,appa magalode paduka mudiyathu,magan ammavoda paduka mudiyathu freedomnu sollitu ellorum ellorode paduka mudiyathu,nalaiku itheyum leagal akkuvanuga intha ambedarkar yen neekavillai,history nadanthuyellam nallathunu solla mudiyathu,itherku ore thirvu petrorgal pillaigala sariya valakanum illena ippaditha.,,,,
Poi saavu da,,,,,,,,,,,,,,,
Vj bro.. Improvement venum.. Talk boldly madakki madakki Kelvi kelunga bro.. Konjam face la smile irrukkalam.. Am against LGBT 😈😈😈,,,,,,,,,,,,,,,
Kevalama iruku. Aambalaiyum ambalaiyuma da. Karumam paambum paambum epdi man onnu serum pambu nu onnu irundha pondhu nu onnu irukanum. Loosu,,,,,,,,,,,,,,,
nalla ubmuvaya,,,,,,,,,,,,,,,
En suniya en frnd pudicitan,,,,,,,,,,,,,,,
Ipdi ellarm kum panna...AIDS varatha...tha...broo,,,,,,,,,,,,,,,
Sir neenga ambalaiya sir ....unga moonja partha apdi theriyalaiye daii saniyaney first ne oru ambala mathuri iru da,,,,,,,,,,,,,,,
Ne ampalya enna,,,,,,,,,,,,,,,
unnala Da yalla trunagaiku ketta paru,,,,,,,,,,,,,,,
Antha potta pundaiya konjam Namba area ku Vara sollunga ...pallu pundaiya odachi anupalam,,,,,,,,,,,,,,,
Dei iduga ena Vena pantum aana buskula matum idugala vidama Pana Nala irukum .....idu pakathula thoda vandale Kayla iruka ela kaasayum na bayathula kuduthren.......,,,,,,,,,,,,,,,
Theivame enna polave irukkingale. Payathula nanum alli l; Potruven,,,,,,,,,,,,,,,
actress podunga daa,,,,,,,,,,,,,,,
MEYYAZHAGAN BALAKRISHNAN  unmai Anna evvnalam HIV Sava poragal,,,,,,,,,,,,,,,
Ama jenitics mari appavoda,ammavoda,kulainthangaloda,animalsoda,dead bodysoda kamam vanthuduchina atheyum leagalakiduvingila vibachara media thappa curecta kattuthu.,,,,,,,,,,,
SUPERSTAR VIJAY daii unna unga amma eppadi petha paiyanava ponnava silly 9,,,,,,,,,,,,,,,
Ponna adhu?🙄🤔🤔🤔 Apo payyan ilaiya,,,,,,,,,,,,,,,
sai ram avana nee,,,,,,,,,,,,,,,
Smart Subash daii neya avanungalakku support panra nee 9  illa Gaya maiyuru ulagam alinchi pothu 😤😤😤😤😤😤😤😤😤😤😤 maiyuru adathavana nalla vallikku kondu varanum illa ithu thappu I sollanum naye,,,,,,,,,,,,,,,
SUPERSTAR VIJAY dai 9 ethana Peru ungala samuthayathulla ethukkuranga sollu maiyuru dai punda kadavil Aan pen enruthan padaithaar unnamari 9 tha illa thevidiya paiya,,,,,,,,,,,,,,,
SUPERSTAR VIJAY  ennaa paiyana thandi pethanga unna eppadi pethangalo appadi  iru ethuggu trans avara punda,,,,,,,,,,,,,,,
Correct ta sonninga repent jesus,,,,,,,,,,,,,,,
@Sharuk Sameer  dai naye poi un amma kita solu itha serupala adipanga... Intha lesbian nay etho solitu irukunu ne support panriya... Un akka thangachi kita poi itha solu,,,,,,,,,,,,,,,
Gay payale doctor consult pannuda,,,,,,,,,,,,,,,
Anda 1000 kuppaeigaluku urimaei yaarumme kooravillaye aana inda kuppaeikku kekkaraanga illa...!?yevvalavu things nature'ku yedirra irukku adunaala manida inam is not gonna flourish same as this.....,,,,,,,,,,,,,,,
@Smart Subash  ene panenom lesbienne relation is normale is not noi next génération le achu mathevagela vale vidugeda,,,,,,,,,,,,,,,
@Smart Subash  neengalam lesbian supporters ah???  Apo un pullainga kandipa gay and lesbian ah dha porakum...,,,,,,,,,,,,,,,
Ivan or ival  boy Illa girla  😂 Ival; Ivan 9 na 😂 I'm confused 😕,,,,,,,,,,,,,,,
ethukulam yaaru kaaranam pls thinking pannuga evangala odaviduga,,,,,,,,,,,,,,,
vazhapu seri illa...unga appa unna mari iruntha unga amma unna mari iruntha nee poranthu irukka matta ...ippadi nee penathuratha naanga kettu irukka mattom,,,,,,,,,,,,,,,
Modhala ni payana illa pnu ha slu,,,,,,,,,,,,,,,
Podi punda mavale poi thooku maati saavu lesbian kandarolinga chaik,,,,,,,,,,,,,,,
Culture kum ithukum connect Ila nu solla varingala etho transgender na paravala aambalaiyum aambalaiyum mam pombalaiyum pombalayum mam ssss ipaaaaa mudiyala,,,,,,,,,,,,,,,
@Kadhayalla Nijam  poda gay Punda mavane,,,,,,,,,,,,,,,
inum konjal ponah family kuliya sex panlanu soluvangah polah..............................,,,,,,,,,,,,,,,
Inga Aadunga 🐐 kooda sex pandranunga oru group !!! Karumam !!!,,,,,,,,,,,,,,,
Homosexual nayungala adikkanum oda oda😠😠😠😠😠😤😤😤😤😤😤😤😤,,,,,,,,,,,,,,,
Unga appa ippadi homosex vachi iruntha ne poranthu irupiya naye poruki,,,,,,,,,,,,,,,
Kolai Seibavan Kooda avanukku oru niyayam vaithiruppaan. Adhanaal avan seivadhu sari illai.,,,,,,,,,,,,,,,
Poda karpatt mandayaa sorry podi (confuse agiteen).😔😔,,,,,,,,,,,,,,,
Dai ali mandayaa firstu nee ambalaya ? pombalaya ?,,,,,,,,,,,,,,,
Unarvugal pathi solluringale.. apo neenga unga amma mela oru unarvu vantha avangalayum ipdi than pannuvingala????...; Ithey neenga adopt panra ponne unga kooda unarvu adipadaila ungaloda thorapu vachukka virumbuna ok solluvingala....; ;  Puthisaliya pesratha nenappu intha ponnuku ponna paiyana ivanga??...,,,,,,,,,,,,,,,
Anchor sir.. ungala than suresh kuppusamy homophobic abuser kekiranga..,,,,,,,,,,,,,,,
sothom kumaravin. pavam ?,,,,,,,,,,,,,,,
Iva naaya vida kevalamaanaval,,,,,,,,,,,,,,,
Onnota ponnu ipdi Panna vituviya,,,,,,,,,,,,,,,
Uruppadatha nattukku ithu onnu mattumthan than Baki tthu...,,,,,,,,,,,,,,,
Elam ok but male to male & female to female nu vaaltha future la humans irukave matangaley,,,,,,,,,,,,,,,
Aei.....NEE ATHU THAAANEEE............,,,,,,,,,,,,,,,
@Shesa Shesatri  nee kevalama yosicha yellamey kevalamatha ireko.. Etheyume positive ah paake katthuko. Nyana suniyame,,,,,,,,,,,,,,,
Advice lam nallan tan eruku..Appe un magalai ..enna mathiri oru rendungketanuku kalyanam pannikudupiya??,,,,,,,,,,,,,,,
Eval oru 9 eva namala pathi thappa soltra,,,,,,,,,,,,,,,
Eva kettupona mattum ellama oru ponnu vazhkaiya veenakitta. Suyanala kama pei,,,,,,,,,,,,,,,
Iiithupona munda knjakuda kadavul mela payamo illa nambikaio illama pesara seralira munda......kotha engayavuthu patha konruva.......,,,,,,,,,,,,,,,
Intha girl ku veakkama illaiya pubilc ah ipidi kathaika sexse  nega vaikkuratala ena varuthu epidi sexse panara 2 sexsem sem ah irukkurapo ithalam sari illa nega kudumpa kuthu villaka mara try panuga athan ungaluku nallam unga kudumpathukkum nallam,,,,,,,,,,,,,,,
Eva pombalayaa Illa ambalayaa Illa 9 tha?,,,,,,,,,,,,,,,
