Comments,Label
"	எல்லாரும் ஒன்று புறிந்து கொள்ளுங்கள் Gay mean not sex it's love also அதை புரிந்து கொள்ளுங்கள் love செய்யுங்கள் but don't time pass",None-of-the-above
"	மாளவிகா தமிழ்  athe thaan correct disappointed_facedisappointed_facedisappointed_face",None-of-the-above
"	பத்ம ஷேசாத்திரி பாலபவன் இந்த பள்ளியில் நடந்த தவறுக்கு மன்னிப்பு கேட்காமல்",None-of-the-above
"	அருமையாக சொனீர்கள் உமா மாலதி. இங்கே காதல் கலப்பு திருமணம் செய்தால் சாதி ஒழியும் என்று சொல்வது ஒரு அரசியல். சாதி ஒழிப்பு  சொல்றவன் தான் சாதி கலவரத்த தூண்டி விடுறான். சாதி ஒழிப்பு என்பது ஒரு அரசியல். சாதி உண்டு என்பது ஒரு அரசியல்.புரியாமல் இளைய தலைமுறை  பேசுவது தான் வேதனை.",None-of-the-above
"	தண்டம் கோபிநாத்.எருமமாடு உன்மண்டயல ஒன்னும்இல்ல என்பது இது பார்த்தாலே தெரியுது.நீ பெரிய ஞானிமாதிரி பேசர  நியாம பேச தெரியலயே உனக்கு",Misandry
"	Kumaran Kumaran  உங்கொம்மா புண்டைய முதலில் ஓத்தவன் நான்",Misogyny
"	வேற லெவல் ங்க",None-of-the-above
"	உன்னாலே தான் பிராமணர்களுக்கு அவமானம்.  சிறு நிறைய தின்னா போறாது. கொஞ்சம் உப்பு சேர்ததுக் கொங்க.",None-of-the-above
"	டேய் வேக்ககெட்டவனே முகமது பத்தி பேசுடா பாப்போம் பு",None-of-the-above
"	நல்லவர்கள் நீதியை விரும்ப கூடியவர்கள் எல்லா ஜாதியிலும் மதத்திலும் இருக்கிறார்கள். அதேபோல் கழிசடைகள் எல்லா ஜாதி மதத்திலும் இருக்கிறார்கள்.",None-of-the-above
"	இவருடைய பல பேட்டிகள் பார்த்திருக்கிறேன். அது எப்படியாக ஒரு சார்பாக யாரும் அறியா வண்ணம்  பேட்டியை கொண்டு செல்வது என்ற வித்தை அறிந்தவர். பிராமணர் அல்லவா.",None-of-the-above
"	சனியேன் இந்த நாய்களுக்கும்  கிழ ஊக்கந்து கை தட்டுத்துங்க",None-of-the-above
"	யார் இந்த தீ செந்தில்?  யார் இந்த தீ செந்தில்?  யார் இந்த தீ செந்தில்?",None-of-the-above
"	மோடி ஜி அவர்கள் பிடிக்காது",None-of-the-above
"	டேய் வடநாட்டில் இருந்து வந்து தமிழை கற்று கொண்டு தமிழனையே இழிவாக பேசுகின்றனர்  எச்சராஜா தேவி***புல்ல",Xenophobia
"	அனைவரும் ஆனந்த் சீனிவாசன் அய்யா போன்று சாதிய சாயத்தை நீக்கிவிட்டு எந்த ஒரு விஷயத்தையும் அனுகினால் நாடு வளம் பெறும்.. இந்தியா ஒரு முன்னேறிய நாடாக கலாம் அய்யா கண்ட கனவு பலிக்கும்...",Counter-speech
"	சரியான செருப்படி கரு.பழனியப்பனுக்கு வாய பொளந்து பாத்துட்டு இருக்கான்.",Misandry
"	ஆனந்த சீனீவாசன் உண்மையை அறிந்து பதிவு செய்தமையுக்கு நன்றி",None-of-the-above
"	போய் இப்பவும் கேக்குறாங்க முடில",None-of-the-above
"	This too will pass away.; இதுவும் கடந்து போகும் என்று கீதையில் செல்லப்பட்டது இந்த ராஜாவுக்கும் பொருந்தும்.;    ஒரு நாள் காணாமல் போய்விடுவார். வாஜ்பாய் இருந்த போது இந்த ஹிந்து சித்தாந்தம் திணிக்கப்படவில்லை. மோடி",Counter-speech
"	நான் மனசார சொல்றேன்",None-of-the-above
"	இந்திய அரசிலமைப்பு அனைவருக்கும் பொதுவானது; சாதிக்கு வெவ்வேறு தண்டனை என்று குறிப்பிடவில்லை தண்டனை கடுமையாக இருக்க வேண்டும்",None-of-the-above
"	சரியான வித்தியாசம் சொன்னீங்க செந்தில் sir",None-of-the-above
"	எச்ச நாயே உனக்கு உடம்பு முழுக்க கொழுப்பு.. உன்ன யாருட தமிழ்நாடு நாட்ல இருக்க சென்னா",Misandry
"	மிகச்சரியான விளக்கம்.; பிராமண சமூக மக்களை; இழிவுபடுத்திய மதுவந்தியை பிராமண மக்களே செருப்பால் அடிக்கனும்.",None-of-the-above
"	வந்தேறி நாய்கள் ஓடுங்கடா உங்க நாட்டுக்கு எங்க வந்து என்ன ஆதிக்கம் பண்ணுரீங்க செருப்பு",Xenophobia
"	பெண்கள் எதிர் பார்ப்பது ஒன்று தான் தன் கணவனின் உண்மையான அன்பு மட்டும் தான் smiling_face_with_heart-eyes",Hope-Speech
"	திரு ஆனந்த ஶ்ரீநிவாசன் அவர்கள் நியாமான சிந்தனை உள்ளவர்.",None-of-the-above
"	அய்யா வணக்கம் முழுவதும் வருவது இல்லாமல் இருக்கிறது தயவுசெய்து நிகழ்ச்சியை அனந்தும் தாருங்கள் நன்றி வணக்கம்.",None-of-the-above
"	veera pathiran  டே உன் சாதி சர்டிபிகேட் ஐ இங்க அப்லோட் பண்ணுடா...",None-of-the-above
"	டேய் ஆண்டாள் தேவதாசி தான் டா.... ; அவன்  மதவெறிய தூண்டுறான் அதுகூட தெரியாம முட்டா பயலுக அவனுக்கு போய் support பண்றாய்ங்க...  ; ஒரு தமிழ் புலவரை வேசி மகன்னு சொன்ன நீ தமிழனா...  ; உன் குடும்பமே வேசி டா எச்ச ராஜா",Misandry
"	தெளிவான விளக்கம் வாழ்த்துக்கள்",Hope-Speech
"	; ஹிந்துக்கள் பதிலடி தராததினால் அவர்களை  எவ்வளவு கேவலமகா பேசினார்கல்  இனி அடித்தல் திருப்பி அடிக்க வேண்டும்",Counter-speech
"	டேய் கரு. பழனியப்பா சேரன் மகள் காதலிச்சப்போ மட்டும் உனக்கு உன் ஜாதி பெருசா தெரிஞ்சதா... மூடிட்டு போடா நாட்டு கோட்டை செட்டி பயலே வேணும்னா உன் வீட்டு பொண்ணுகளை கூட்டிட்டுவா எங்க ஊரு சேரி கார பையனுக்கு கல்யாணம் பண்ணி வச்சு ஜாதிய ஒழிப்போம் வரியாடா",None-of-the-above
"	இவர் ஒரு காங்கிரஸ்காரர்",None-of-the-above
"	எச்ச நாய செருப்பாலே அடிக்கணும்.",None-of-the-above
"	மிஸ்டர் கோபிநாத் அவர்களே உங்களுக்கு அசிங்கமா இல்லையா",Misandry
"	DIVINE BLESSING  ; நீர் வெள்ளை பாவாடை; கோஷ்டிக்காரர்.!; டவுசர் பாவாடையுடன்; இணையுமா..????",None-of-the-above
"	ஆத்தகுட்டிகுடுத்து; சப்றடுறாதேவிடிமகன்கள்; வைரமுத்து சைமன்; டேனில்காந்தி",Misandry
"	உன்னை யாருடா; ராசா பூலை ஊம்ப; சொன்னது..????",Homophobia
"	அந்த பயம் இருந்தால் சரி ராஜா",None-of-the-above
"	ஹரிஹர ஷர்மாவுக்கு தமிழ் நாட்டுல என்ன வேலை.; ; மூடிட்டு போடா வெண்ணை.",Misandry
"	மானங்கெட்ட நீ ஏனடா தொங்காமல் இருக்க???",None-of-the-above
"	லயோலா கல்லூரியின் மீது நீங்கள் விமர்சனம் செய்ததுண்டா? எங்கே சொல்லுங்கள்.நீங்கள் நேர்மையான சமூக வாதி என்றால் வீடியோ போடுங்கள்.",None-of-the-above
"	தேவிடியா பையா பாசிசம் ஒழிக",Misandry
"	உங்கள்  சொல்   வளம்  நன்று.; வாழ்க வளமுடன்.வளர்க  என்றும் நலமுடன் இந்த பிரபஞ்சத்தில் folded_hands",Hope-Speech
"	டே சொட்டத்தாயோ",Misandry
"	அரசாங்கம் சொத்தாக வாங்க சொல்லுகிறது. அவர்கள் சீதனமாக வாங்கி செல்கின்றனர் இரண்டும் ஒன்றுதான்.",None-of-the-above
"	+Rajesh Kumar ; ; கேன கிருக்கா; ; பைத்தியகார",None-of-the-above
"	ஆமைகறி பூண்டை கதை கூதி சொல்லுangry_face நி  எல்லா மேடையிலும் அப்படி தாண்டா பேசுற",Misandry
"	இவர்களின் பேச்சை கேட்டு நடக்கும் பெண்கள் அவர்களின் கணவர்கள் இங்கே நரகத்தை அனுபவிக்கின்றார்கள் மற்றும் முதியவர்களுக்கு இல்லம் அதிகமாக இருக்கின்றது/ முதியோர் இல்லங்கள் அதிகமாக இருக்கின்றது திருநாட்டில்",Counter-speech
"	ஆண்டாள் ஒரு அயிட்டம்",Misogyny
"	கிருஸ்தவ அவுசாரி பய செருப்பால் அடிக்கனும்",Misandry
"	பாரதியார் போன்ற நிறைய பிராமணர்களை நான் பார்திருக்கேன். நான் ஒரு BC ஆசிரியர். நான் சில பிராமண வீடுகளில் டியூஷன் எடுத்திருக்கேன். அவர்கள் ஜாதி பார்க்காமல் நன்கு பழகுவார்கள்",None-of-the-above
"	இது ஒரு அப சகுனம். எப்ப பார்த்தாலும் நாடு திவாலாகும் மக்கள் சோத்திற்கு இல்லாம திண்டாடுவார்கள் என்று அபசகுனமாகவே பேசும். ; ; கருமம் புடிச்சது.",None-of-the-above
"	மிகவும் நாகரிகமான மனிதர்  சிறப்பு சார்",None-of-the-above
"	மனிதாபிமானம் மற்றும் மனுநீதி  உள்ள மரியாதைக்குரிய பிராமணர்.குப்பையில் கிடைத்த கோம்மேதகம்",None-of-the-above
"	 % இடஒதுக்கீடு பெண்களுக்கே  yaruku nallathu",None-of-the-above
"	இவர் பிராமணர் என்று இப்போது தான் தெரியும்.. நடுநிலையாக பேசியதற்காக நன்றி..",None-of-the-above
"	சீதனம் கேட்க்கும் பெண் இனமே உங்கள் செயல் முழு பெண் இனத்துக்கும் இழிவை உண்டாக்கி விட்டது ......உம்மை போன்ற பெண்கள் வாழவே தகுதி அற்றவர்கள்",Misogyny
"	எச்ச நாயே நீ முதல் செத்து துலஞ்சாதான்டா ஹிந்துக்கலுக்கு நல்லது.எச்ச நாயே தூ......",Misandry
"	+ahamil oli  அறை எண்  ல் யார்  போண்டாடிய",None-of-the-above
"	ராஜா பேசும் மேடை நாகரீகம் தவறு தான் அதுக்கு ஏண்டா பிரிவினை சைக்கோ சைமன் படத்தை பத்தி போடுறீங்க இந்த நாயி ராஜாவுக்கு கொஞ்சமும் சலைத்தவன் இல்லை மேடை நாகரீகம் தெரியாத தரம் தாழ்ந்த ஈனபிறவி",Misandry
"	நம் கடவுள் ஒன்று மட்டும்  இருந்தால்  எவனும் திட்ட மாட்டான். பல கடவுள் இருக்கே எது நம் கடவுள் ஆடு மாடு நாய் பன்னி குரங்கு இதெல்லாம் விலங்கு. இதை கடவுள் என்று சொன்னால் திட்ட தானே செய்வானுக........",None-of-the-above
"	ப்ரோ உங்க மொபைல் நம்மர் வேனும்",None-of-the-above
"	திமுக விருந்து இந்துக்கள் வெளியேற வேண்டும்.",None-of-the-above
"	வரதட்சனை என்பது ஆதிகாலத்தில் இருந்தே நடைமுரையில்உல்லது அது எதர்க்காக என்பதுகுரித்து விளக்கமான பதில் அளியுங்கல் .சொம்பு தூக்கி கோபிநாதன் அவர்கலே",Misandry
"	இந்துகளின் நம்பிக்கை களையும்",None-of-the-above
"	நிறைவான பொருளாதாரமும் நல்லா படப்பும் குணமும் இருந்தால் போதும்.இவை அனைத்தும் இருவரிடத்திலும் இருந்தால் ஜாதி தடை இல்லை.",Hope-Speech
"	மதுவந்தி மது அருந்திவிட்டு ஜாதி மதம் இனம் பணம் என்று உளரி கொண்டுள்ளது அவரை நல்ல ஆஸ்பத்திரியில் சேர்த்து சிகிச்சை அளிக்கவேண்டும்",None-of-the-above
"	பார்ப்பனனுக்கு ஒரு பிரச்னை என்றால் பார்ப்பன விபச்சார ஊடகங்கள் மூடி மறைத்து விடுவான்கள்",None-of-the-above
"	ஏண்டா நிலைகொண்டு பேசாமல்",None-of-the-above
"	எவ்வளவு பெரிய கருத்தை பிறர் மனம் பாதிக்கப்படா வண்ணம் கூறியுள்ளார்clapping_handsclapping_handsclapping_hands",Hope-Speech
"	நானும் தான் கூட ப்பிறந்தவர்ஏன்அடுத்தவருக்குகிடைக்கும்பாசம்எனக்குஇல்லைநாத்தனார்முண்டைகளால்தான்வாழ்க்கையேசீரழிகிரது",Misogyny
"	இலன் கிறிஸ்துவ மதத்திற்கு மாறிவிட்டான்",None-of-the-above
"	தே... மகனே இஸ்லாமியர்களை ஏன்டா வம்பிழுக்குர தாசிமகனே",Xenophobia
"	திரு பொச்சி ராஜா அவர்கள்",Misandry
"	பிராமணர்களால் சுதந்திர இந்தியாவுக்கு   முன்பே பிரிட்டிஸ்சாருக்கு செம்பு தூக்கி நாட்டுக்கே தலைகுனிவை ஏர்படுத்தியவர்கள் இந்த பிராமிணர்கள்தான்",None-of-the-above
"	எச். ராஜா.... எப்படிபா நம்ப நடிப்பு; ஒத்து... அசத்திடிங்க போங்க",Misandry
"	priya priya   ஆர்ரா இவன் இவனோட ஆத்தால ஓத்து கிழிச்சாலும் பொலம்பாம ஊம்புரது",Misogyny
"	நபியை எப்படிடா புண்ட நீ இலுக்கலாம் தேவடியா பயலே உனக்கு தலையை அறுத்து விடுவோம்",Misandry
"	Gay அன்பு தாயின் அன்புக்கு நிகரானது",None-of-the-above
"	நானும் பிராமணவகுப்பை சேர்ந்தவள் தான்.தவறு செய்தவர்கள் யாராக இருந்தாலும் தண்டனை பெற்றே ஆகவேண்டும். எதற்காக தவறு செய்த ஆசிரியருக்கு தப்பிக்க வக்காலத்து வாங்குகிறார் மதுவந்தி. நல்ல  நியாயமான பெண்ணாக இருந்தால் பாட்டி ரத்தம் சிந்தி வளர்த்த பள்ளியில் நடந்த அநியாயத்தை தட்டிக்கேட்டிருக்க வேண்டும். இவள் மகளுக்கு இதுபோல் அநியாயம் நடந்திருந்தால் வாயை மூடிக்கொண்டு இருப்பார்களா என்ன??? தனது பெண்னை வாரிசுகள் மட்டுமே சுமந்து பெற்று தரும் பெண்ணாக வளர்த்திருக்கிறரோ என்னமோ",Counter-speech
"	இந்த திகா குரூப் லாம் நாணும் இந்து தான் பாவாடைக்கு மாறி வெளிய தெரியமா இந்துக்களை திட்டுவான் அந்த மாதிரி இவன் திகா வா மாறி ரொம்ப நாள் ஆச்சு இவன் போட்ட முந்திய விடியோவ பாருங்க",None-of-the-above
"	பொண்டாட்டி பேச்சை கேட்கலாம் பேச்சை கேட்டு ஆட கூடாது.",Misandry
"	என்ன இருந்தாலும் நண்பர்களே ஆண்டாள் அம்மையாரை பற்றி தவறாக பேசியது தவறுதானே",Counter-speech
"	செந்தில் எத்தனை விளம்பரம் போடுவே....",None-of-the-above
"	இவர்தான் இந்து மதத்துக்கு ஆதரவாக கூவு கூவு என்று கூவிக் கொண்டே இருக்கிறார்",None-of-the-above
"	வரதட்சணை இன்னும் வாங்கிட்டு தான் இருக்காங்க.சும்மா பேச வேனும்னா  செய்யலாம்",None-of-the-above
"	ஆண்டாள் தேவி... யா தான்டா சொன்ன பயலே..",None-of-the-above
"	வைரமுத்து  ஒரு தேசவிரோதி; இவனை; என்கவுண்டர் போட்டால் கூட; மக்கள் வாழ்த்துவார்கள்",Misandry
"	Raja Sekar  அங்கிக்கும் பாவாடைக்கும் வித்யாசம் பக்தாஸ் சங்கிஸ்களுக்கு தெரியாது.உங்களுக்கு தெரியுமா",None-of-the-above
"	பிராமணர் பள்ளி நடத்துகிறார் அவ்வளவு தான். அங்குள்ள ஆசிரியர் தவறு செய்கிறார். அவருக்கு சட்டத்தின் மூலமாக தண்டனை வாங்கி கொடுப்பது நியாயம். வேறு எந்த பள்ளியில் பிரச்சினை இருந்தாலும் பள்ளி நடத்துபருடைய ஜாதியை பற்றி பேசியுள்ளீர்களா. நீங்கள்ளாம் எங்களை முட்டாள்கள் என நினைக்கிறீர்களா.",Counter-speech
"	+பிரபல நாட்டாமை என் சுண்ணில ஐஸ் கிரிம் தடவி ஊம்பு",Homophobia
"	நண்பா  மக்கள் இனியாவது திருந்தட்டும்",None-of-the-above
"	பேருலேயே சாதி.ஊருக்கு உபதேசம்.",None-of-the-above
"	அன்றே கூறியுள்ளார்கள் துளசிமாடத்தில் பிறந்த தாசி என்று ஆண்டளை கூறவார்கள் போதுவாக அவள் பெருமாளுக்கு தாசி முறை தான் என்று தமிழ் நூல்கள் இலைமறை காயாக கூறுகின்றது",None-of-the-above
"	ஏன்டா. இதுக்கு ஒரு. விவாதம்; தேவைதானா. ஒரே. வரியில்; சட்டம் தன். கடமையை செய்யும். ; என் சொல்லி விட்டு போக; வேண்டியதுதானே.; ; ஒரு வேலை. சட்டம் தன்; கடமையை செய்யாது என; நம்புகிறிர்களா.ஆம் என்றால்; இதுபற்றி‌. ஒரு. விவாதம்; நடத்துங்களே.",None-of-the-above
"	ஆதாவது புரியர மாதிரி தெளிவாக நான் சொல்லட்டுமா.....ஆதாவது ஒரு குடும்பம் இரண்டு ஆண்கள் ஒரு பெண் அந்த பெண்ணுக்கு வரன் தேடுராங்க சரியா.. ..நல்ல சொத்துபத்து உள்ள குடும்பம் வச்சிகோங்க ..இந்த இரண்டு அண்ணணுங்களும் ஒரு திட்டம் போடுராங்க தங்கச்சிக்கு நல்ல இடமா பாத்து நல்லா நகைய போட்டு அமிச்சிடனும் நினைக்கிறாங்க....ஏன்... ஏனா நம்ம தங்கச்சி சொத்துள பங்கு கேட்டுரக்கூடாதுனு ......இப்ப முக்கியமான விசயத்துக்கு வருவொம் பெண்களுக்கு சொத்துரிமை உண்டு அவுங்க எல்லாத்தையும் வேனும்னு கேக்கல சரிபாதியா பிரிச்சு கொடுனு கேக்குறாங்க இது அண்ணன்மார்களுக்கு பிடிக்காது.......ஒருவேல தன் தங்கை கணவர் ஒரு குடிகாரரொ",Misandry
"	நான் பல நாட்களாக இணையத்தின் வழியே பல மதங்கள்",None-of-the-above
"	Storm Breaker  சாதி  வெறியர்களை ஒழிக்கவேண்டும் உன்னைப் போன்ற சாதி வெறியர்கள் சுத்தி * காம்பை விட்டு ஆட்ட வேண்டும்   ;  grinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweatgrinning_face_with_sweatrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing",None-of-the-above
"	Unknown Nanban  புண்டை   மணி நேரமும் டாஸ்மாக் ல தண்ணி அடிச்சிட்டு",Misandry
"	ஏன் நீங்கள் full episode போடவில்லை என்றால் எந்த எதுவும் போட வேண்டாம்",None-of-the-above
"	அருமையான கேள்வி அய்யா",None-of-the-above
"	என்னுடைய உறவுக்காரர்கள் வேனும்னா எனக்கு சாதி வேனும்",None-of-the-above
"	கமல் சாயம் வெளுத்து போச்சு",None-of-the-above
"	ஏன்டாநாய்ராஜாநீகஞ்சாபோட்டுபேசுரே. நீங்கள் அறிவாளிஇந்துமதம்வேதம். சமஸ்கிருதம் ஆரியன்வருகைஎதைப்பற்றியூம்விவாதிக்கதயாரா",Misandry
"	உண்மை உரைத்து சொன்னீர்கள் ஆனந்தம் சார்",None-of-the-above
"	priya priya   ஓத்தா புண்டல புழு புடிச்சி போச்சிடா ஓத்தா ல ஓக்க விடு",Misogyny
"	நீ உன் விசயத்த பேசுடா தேவ இல்லாம முஸ்லீம ஏன் வம்புக்கு இழுக்குர.. முஸ்லீம்களின் மூத்திரம் குடிக்காமல் உங்களுக்கு தூக்கம் வராதா",Xenophobia
"	நிங்கள் என்றும் சரியில்லை எச்ராஜ",Misandry
"	நியாயமாக சொல்கிறார்..  சீனிவாசன் அவர்கள்.  இதுபோல நல்லவர்கள் பிராமணர் சமுதாயத்தில் இருக்கிறார்கள்.",None-of-the-above
"	இதில் சம்பந்தபட்ட குற்றம் சாட்டபட்டவர் அரசியல் துணை உடையவர் என தெரிய வருகிறது. ஏற்கனவே தினகரன் பத்திரிகை எரிப்பு விவகாரத்தை மக்கள் பார்த்துவிட்டனர்",None-of-the-above
"	இந்தா  கோபி பயலோ  செருப்பலோ  அடிச்சா  எல்லாம்  சாாியாகிவிடும்",Misandry
"	சதா சிவம் சாதிவெறி காட்டுமிராண்டி புண்டை நாயே..... ஆணவ கொலை பண்ணும் ஜாதிவெறி புண்டையே...",Misandry
"	சூடு சுரனையற்றவர்கள் எச் ராசா கூட்டங்கள்backhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightbackhand_index_pointing_rightflat_shoe",Misandry
"	Abdul Samath  எல்லா பிராமணர்களும் பிஜேபி ஆதாரவாளர் கிடையாது.",None-of-the-above
"	எதுக்கு ஒரு மதத்தை இழிவாக பேசவேண்டும். தமிழ் நாட்டில் உள்ளவர்கள் திருந்துகள் அறிவு உள்ளவர்கள் இதை முதலில் யோசிங்கள்.",Counter-speech
"	+பிரபல நாட்டாமை உன் அம்மாட்ட கேளு உனக்கு சுண்ணி ஊம்ப சொல்லி கொடுப்பா",Misogyny
"	Ayy Ar  அன்பான என் இதயத்திற்கு",None-of-the-above
"	ஒய் ஜி ஆயா இரத்தத்தை கொய்ச்சி கட்ண schoolஆ",None-of-the-above
"	எச்சி  ராஜா ஆத்தா  ஏழு பேருகிட்ட கால விரிச்சு ஏழு பேரோட விந்துக்கு சேர்த்து பிறந்த   ஒரு பச்ச தே",Misandry
"	நல்லவர்கள் அனைத்து இடங்களிலும் இருப்பது உண்மைதான் என்பதை மீண்டும் நிருபித்து இருக்காங்க  சூப்பர் பேச்சு வாழ்க வளமுடன்",Hope-Speech
"	அய்யா நான்திராவிடஇயக்கத்தைசார்ந்தவன் ஆனாலும்ஒட்டுமொத்தபிராணர்களையும்நாங்கள்விமர்சனம்செய்வதுகிடையாது.எத்தனையோபிராமணர்கள்நண்பர்களாஇன்னமும்இருக்கிறார்கள்.அய்யாஆனந்த்சீனிவாசன்போன்றஉண்மையா.நியாயமா.ன.எந்தஒருகாழ்ப்புணர்ச்சிஇன்றி பேட்டிகொடுத்தஅய்யாஆனந்த்சீனிவாசன்அவர்களுக்குகோடானகோடிநன்றியையும்வணக்கத்தையும்தெரிவித்துகொள்கிறேன்",Hope-Speech
"	பாப்பானுக்கு பாப்பான் தான் எதிரி; ; வேப்பந்தோப்பு; நாய் மந்தை dog_face; பாப்பாரப் பந்தி ; இது மூன்றையும் ஒன்னா பாக்க முடியாது...; ; ஒற்றுமை இல்லாத ஒரு சமுதாயம் பார்ப்பன சமூகம்...",None-of-the-above
"	சில பேருக்கு ஜாதி சட்டை மாதிரி",None-of-the-above
"	ஆடுமேச்சி பொளைக்கவந்த   நாதாரிக்குட்டம் ராசா துள்ளாதடா எச்ச",Misandry
"	Guru murthi   டேய் தேவுடியா மகனே கொம்மால துலுக்கன் சுன்னிய ஊம்புற உனக்கு தானே தெரியும்...... அடுத்து குண்டி காட்டும் போது உன் டவுட்டை கிளியர் பண்ணிக்கடா குச்சி காரி மகனே.......... நொம்மா பொண்டாட்டி தங்கச்சிக்கு தொழில் நல்லா போகுதாடா மாமா குண்டி காட்டி பயலே செத்துருடா பன்னாட பரதேசி பயலே த்த்த்துதுதூ",Xenophobia
"	ஏன்டா நாயே... இஸ்லாமை மேற்கோள் காட்டும் அளவிற்கு உனக்கு தகுதி இல்லை...",Xenophobia
"	எச்சை ராஜா மண்ணைக் கவ்வும் நாள் வெகுதொலைவில் இல்லை பாசிசத்தை ஒழிக்க அனைத்து தமிழ் மக்களும் சேர்ந்து போராட வேண்டும்",Counter-speech
"	எச்ச ராஜா சார் உண் தலை ஏப்படி இன்னும் வில்தவில்லையோ அப்படிதான்",None-of-the-above
"	எனக்குள் அடிக்கடி தோன்றும் thumbs_upfolded_hands",None-of-the-above
"	திரு ஆனந்த் சீனிவாசன் அவர்களின் நேர்மையான பேட்டிக்கு நன்றி. ஒரு அப்பா நிலையில் இருந்து பேசியிருக்கிறார்.",None-of-the-above
"	S K  உன்ன பாத்தா ரொம்ப பாவமா இருக்கு",None-of-the-above
"	ஊரில் உள்ள எல்லாப் பெண்களின் பேச்சையும் கேட்போம்.ஆனால் மனைவியின் பேச்சை மட்டும் கேட்க மாட்டோம்.அவள் நமது அடிமை.",Misogyny
"	sam sam  straight பையன்  எப்படி  சம்மதிப்பான்",None-of-the-above
"	நம் முன்னோர்கள் தமிழர்கள் விவசாயத்தை ஒரு பெண்ணாக உருவகப் படுத்தினார்கள் அதை ஆரியர்கள் போலி பிராமணர்கள் சாதகமாக பயன்படுத்தினார்கள் ஆண்டாள் பச்சையம்மா வள்ளி மீனாட்சி காமாட்சி எல்லாம் உண்மையான பெண்கள் அல்ல விவசாயத்தை குறிக்கும் ஒரு அக்ரினை அவ்வளவுதான் பச்சைக்கிளி விவசாயத்தை குறிப்பதாகும் விழித்தெழுங்கள் தமிழர்களே திரைப்படங்களில் மயங்கியது போதும்",Counter-speech
"	என்ன ஒரு வில்லத்தனம்thumbs_upthumbs_upgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyes avanethaaan yaaaa.... grinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyesgrinning_face_with_smiling_eyes paduthuranyaaaaaaface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyOK_handthumbs_upthumbs_up",None-of-the-above
"	ஒரு நாள் மாறும்",None-of-the-above
"	ஆனந்த் சார் சமூக நீதி பேசும் ஓரு தெய்வம்",None-of-the-above
"	நான் சின்னத்திரை சாா்ந்தவன் மகிழ்வன் என்னிடம் பகிா்ந்துகொள்ளுங்கள் உங்க கதையை",None-of-the-above
"	Rajkumar Rajkumar  அலி கூதி புண்டை...நீ உழைக்கிற சாதியா...நீ வூம்புற சாதி...அதுலயும் ஜாதி பிச்சை எடுத்து வூம்புற",Transphobic
"	xmsrks  மாட்டு மூத்திரம் குடிக்கிற பயலா நீ",Misandry
"	டோய் பார்பனநாயோ உன்னை  இங்கு வாழவிட்டதப்பு  நாயகி பிறந்த நாயே பிறர்தநாயோ",Misandry
"	மைரம்முத்து யார் மகன் ?!?!; சந்தேகம் நீடிக்கிறது...",None-of-the-above
"	தமிழக அரசு  இந்த பள்ளிக்கூடத்தை கைப்பற்றவேண்டும்",None-of-the-above
"	கடைசியில் பேண்டவருக்கு செருப்படி குடுத்ததற்கு மிக்க சீனிவாசன் சார்",None-of-the-above
"	இப்படியே ஊம்பிக்கிட்டு போக வேண்டியதுதான் வேசிக்கு பொறந்த நாய்களா",Misandry
"	இவனால் எனக்கு அவமானம் தமிழனாய்",None-of-the-above
"	சைமனெல்லாம் ஒரு ஆளுகூஃஃஃ",Misandry
"	எனது எளிய சமையல்  yes",None-of-the-above
"	மேன்மக்கள் மேன்மக்களே என்பதற்க்கு திரு ஆனந்த் சீனிவாசன் ஒரு உதாரணம் அறிவுள்ளவர்கள் தவறை தவறு என்று தான் கூறுவார்கள்",None-of-the-above
"	இது ஹிந்து மதம் இல்ல டா தமிழ் இலக்கியம் ...",None-of-the-above
"	Vijay kumar   நாய் களிலேயே  நீ ஒரு  தேவிடியா  நாய். நாங்களும்  இனிமேல்  இப்படி  பேசுவோம்ல...; .",Misandry
"	புலி பாண்டிக்கு ஏண்டா...பொத்துகிட்டு வருது.....இவனும் அப்படி தாண்டா பேசினான்....",Counter-speech
"	ஆனந்த் சார் நியாத்தின் பக்கமும் உண்மையின் பக்கமும் நிற்கிறீர்கள். நன்றி ஐயா.",None-of-the-above
"	பெண்ணையே கேட்க தூண்டும் சமுதாயம்?",None-of-the-above
"	நல்ல கருத்து ஐயா வாழ்க வளமுடன் வாழ்க பல்லாண்டு",None-of-the-above
"	வரலாறும்  ஆகமங்களும் தான்...பெண்னை அடிமைப்படுதுகிறது",Counter-speech
